State,Year 1,Year 2,Year 3,Year 4,Year 5,Year 6,Year 7,Year 8,Year 9,Year 10,Year 11,Year 12,Year 13,Year 14,Year 15,Year 16,Year 17,Year 18,Year 19,Year 20,Year 21,Year 22,Year 23,Year 24,Year 25
Hawaii, $2.10 , $2.12 , $2.16 , $2.21 , $2.26 , $2.31 , $2.37 , $2.44 , $2.51 , $2.59 , $2.66 , $2.76 , $2.87 , $2.98 , $3.10 , $3.23 , $3.36 , $3.50 , $3.66 , $3.82 , $4.03 , $4.26 , $4.52 , $4.80 , $5.11 
Idaho, $1.45 , $1.46 , $1.49 , $1.53 , $1.56 , $1.60 , $1.65 , $1.69 , $1.75 , $1.80 , $1.85 , $1.93 , $2.00 , $2.08 , $2.17 , $2.26 , $2.35 , $2.46 , $2.57 , $2.68 , $2.84 , $3.00 , $3.18 , $3.39 , $3.61 
Illinois, $1.55 , $1.56 , $1.60 , $1.63 , $1.67 , $1.71 , $1.76 , $1.81 , $1.87 , $1.92 , $1.98 , $2.06 , $2.14 , $2.22 , $2.32 , $2.41 , $2.52 , $2.63 , $2.74 , $2.87 , $3.03 , $3.21 , $3.40 , $3.62 , $3.85 
Indiana, $1.51 , $1.53 , $1.56 , $1.59 , $1.63 , $1.67 , $1.71 , $1.77 , $1.82 , $1.87 , $1.93 , $2.00 , $2.08 , $2.17 , $2.25 , $2.35 , $2.45 , $2.55 , $2.67 , $2.79 , $2.95 , $3.12 , $3.31 , $3.51 , $3.74 
Iowa, $1.49 , $1.51 , $1.54 , $1.57 , $1.61 , $1.65 , $1.69 , $1.74 , $1.80 , $1.85 , $1.91 , $1.98 , $2.06 , $2.14 , $2.23 , $2.32 , $2.42 , $2.53 , $2.64 , $2.76 , $2.91 , $3.08 , $3.27 , $3.48 , $3.70 
Kansas, $1.52 , $1.54 , $1.57 , $1.61 , $1.64 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.95 , $2.02 , $2.10 , $2.18 , $2.27 , $2.37 , $2.47 , $2.57 , $2.69 , $2.81 , $2.97 , $3.14 , $3.33 , $3.54 , $3.77 
Kentucky, $1.46 , $1.48 , $1.51 , $1.54 , $1.58 , $1.61 , $1.66 , $1.71 , $1.76 , $1.82 , $1.87 , $1.94 , $2.02 , $2.10 , $2.19 , $2.28 , $2.38 , $2.48 , $2.59 , $2.71 , $2.86 , $3.03 , $3.21 , $3.42 , $3.64 
Louisiana, $1.44 , $1.45 , $1.49 , $1.52 , $1.55 , $1.59 , $1.64 , $1.68 , $1.74 , $1.79 , $1.84 , $1.91 , $1.99 , $2.07 , $2.15 , $2.25 , $2.34 , $2.44 , $2.55 , $2.67 , $2.82 , $2.99 , $3.17 , $3.37 , $3.59 
Maine, $1.60 , $1.62 , $1.65 , $1.69 , $1.73 , $1.77 , $1.82 , $1.88 , $1.94 , $2.00 , $2.06 , $2.14 , $2.22 , $2.32 , $2.41 , $2.51 , $2.62 , $2.74 , $2.86 , $3.00 , $3.17 , $3.35 , $3.56 , $3.79 , $4.04 
Maryland, $1.61 , $1.63 , $1.66 , $1.70 , $1.74 , $1.78 , $1.83 , $1.89 , $1.95 , $2.01 , $2.07 , $2.15 , $2.23 , $2.32 , $2.42 , $2.52 , $2.63 , $2.74 , $2.87 , $3.00 , $3.17 , $3.36 , $3.56 , $3.79 , $4.04 
Massachusetts, $1.87 , $1.89 , $1.93 , $1.97 , $2.02 , $2.06 , $2.12 , $2.19 , $2.25 , $2.32 , $2.39 , $2.49 , $2.58 , $2.69 , $2.80 , $2.91 , $3.04 , $3.17 , $3.31 , $3.46 , $3.66 , $3.87 , $4.11 , $4.37 , $4.66 
Michigan, $1.64 , $1.65 , $1.69 , $1.73 , $1.77 , $1.81 , $1.86 , $1.92 , $1.97 , $2.03 , $2.10 , $2.18 , $2.26 , $2.35 , $2.45 , $2.55 , $2.66 , $2.78 , $2.90 , $3.03 , $3.21 , $3.39 , $3.60 , $3.83 , $4.08 
Minnesota, $1.59 , $1.60 , $1.64 , $1.68 , $1.71 , $1.75 , $1.81 , $1.86 , $1.92 , $1.97 , $2.04 , $2.12 , $2.20 , $2.29 , $2.38 , $2.48 , $2.59 , $2.70 , $2.82 , $2.95 , $3.12 , $3.30 , $3.51 , $3.73 , $3.97 
Mississippi, $1.49 , $1.51 , $1.54 , $1.57 , $1.61 , $1.65 , $1.69 , $1.74 , $1.80 , $1.85 , $1.91 , $1.98 , $2.06 , $2.14 , $2.23 , $2.32 , $2.42 , $2.53 , $2.64 , $2.76 , $2.91 , $3.08 , $3.27 , $3.48 , $3.70 
Missouri, $1.48 , $1.49 , $1.53 , $1.56 , $1.60 , $1.64 , $1.68 , $1.73 , $1.79 , $1.84 , $1.90 , $1.97 , $2.05 , $2.13 , $2.22 , $2.32 , $2.42 , $2.52 , $2.64 , $2.76 , $2.91 , $3.09 , $3.27 , $3.48 , $3.71 
Montana, $1.50 , $1.52 , $1.56 , $1.59 , $1.63 , $1.66 , $1.71 , $1.77 , $1.82 , $1.87 , $1.93 , $2.01 , $2.09 , $2.17 , $2.26 , $2.35 , $2.46 , $2.56 , $2.68 , $2.80 , $2.96 , $3.13 , $3.33 , $3.54 , $3.77 
Nebraska, $1.49 , $1.51 , $1.55 , $1.58 , $1.62 , $1.65 , $1.70 , $1.75 , $1.81 , $1.86 , $1.92 , $2.00 , $2.08 , $2.16 , $2.25 , $2.34 , $2.45 , $2.55 , $2.67 , $2.79 , $2.95 , $3.12 , $3.32 , $3.53 , $3.76 
Nevada, $1.51 , $1.52 , $1.56 , $1.59 , $1.63 , $1.67 , $1.71 , $1.76 , $1.82 , $1.87 , $1.93 , $2.00 , $2.08 , $2.17 , $2.25 , $2.35 , $2.45 , $2.55 , $2.67 , $2.79 , $2.95 , $3.12 , $3.31 , $3.51 , $3.74 
New Hampshire, $1.70 , $1.71 , $1.75 , $1.79 , $1.83 , $1.87 , $1.92 , $1.98 , $2.03 , $2.10 , $2.16 , $2.24 , $2.33 , $2.42 , $2.51 , $2.62 , $2.73 , $2.84 , $2.97 , $3.10 , $3.28 , $3.46 , $3.67 , $3.90 , $4.15 
New Jersey, $1.64 , $1.65 , $1.69 , $1.73 , $1.77 , $1.81 , $1.86 , $1.92 , $1.97 , $2.03 , $2.10 , $2.18 , $2.26 , $2.35 , $2.45 , $2.55 , $2.66 , $2.77 , $2.90 , $3.03 , $3.20 , $3.39 , $3.59 , $3.82 , $4.07 
New Mexico, $1.52 , $1.54 , $1.57 , $1.61 , $1.64 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.95 , $2.02 , $2.10 , $2.19 , $2.27 , $2.37 , $2.47 , $2.58 , $2.69 , $2.82 , $2.97 , $3.15 , $3.34 , $3.55 , $3.78 
New York, $1.72 , $1.74 , $1.77 , $1.81 , $1.86 , $1.90 , $1.95 , $2.01 , $2.07 , $2.14 , $2.20 , $2.29 , $2.38 , $2.48 , $2.58 , $2.68 , $2.80 , $2.92 , $3.05 , $3.20 , $3.38 , $3.58 , $3.79 , $4.03 , $4.30 
North Carolina, $1.49 , $1.50 , $1.54 , $1.57 , $1.61 , $1.64 , $1.69 , $1.74 , $1.79 , $1.85 , $1.91 , $1.98 , $2.06 , $2.14 , $2.23 , $2.32 , $2.42 , $2.52 , $2.63 , $2.75 , $2.91 , $3.08 , $3.27 , $3.47 , $3.70 
North Dakota, $1.44 , $1.46 , $1.49 , $1.53 , $1.56 , $1.60 , $1.64 , $1.69 , $1.74 , $1.80 , $1.85 , $1.92 , $2.00 , $2.08 , $2.16 , $2.25 , $2.35 , $2.45 , $2.56 , $2.68 , $2.83 , $3.00 , $3.18 , $3.38 , $3.60 
Ohio, $1.54 , $1.56 , $1.59 , $1.63 , $1.66 , $1.70 , $1.75 , $1.80 , $1.86 , $1.91 , $1.97 , $2.05 , $2.13 , $2.22 , $2.31 , $2.40 , $2.51 , $2.62 , $2.73 , $2.86 , $3.02 , $3.20 , $3.39 , $3.61 , $3.84 
Oklahoma, $1.45 , $1.46 , $1.49 , $1.53 , $1.56 , $1.60 , $1.65 , $1.69 , $1.75 , $1.80 , $1.85 , $1.93 , $2.00 , $2.08 , $2.17 , $2.26 , $2.35 , $2.46 , $2.57 , $2.68 , $2.84 , $3.00 , $3.18 , $3.39 , $3.61 
Oregon, $1.57 , $1.59 , $1.63 , $1.67 , $1.70 , $1.74 , $1.80 , $1.85 , $1.91 , $1.97 , $2.03 , $2.11 , $2.19 , $2.28 , $2.38 , $2.48 , $2.59 , $2.70 , $2.83 , $2.96 , $3.13 , $3.31 , $3.52 , $3.74 , $3.99 
Pennsylvania, $1.54 , $1.56 , $1.59 , $1.63 , $1.66 , $1.70 , $1.75 , $1.80 , $1.85 , $1.91 , $1.97 , $2.04 , $2.12 , $2.21 , $2.30 , $2.39 , $2.50 , $2.60 , $2.72 , $2.84 , $3.00 , $3.18 , $3.37 , $3.58 , $3.81 
Rhode Island, $1.85 , $1.87 , $1.91 , $1.95 , $2.00 , $2.04 , $2.10 , $2.16 , $2.23 , $2.29 , $2.36 , $2.45 , $2.55 , $2.65 , $2.76 , $2.87 , $2.99 , $3.12 , $3.26 , $3.41 , $3.60 , $3.81 , $4.04 , $4.30 , $4.58 
South Carolina, $1.52 , $1.54 , $1.57 , $1.60 , $1.64 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.94 , $2.02 , $2.10 , $2.18 , $2.27 , $2.36 , $2.46 , $2.57 , $2.69 , $2.81 , $2.97 , $3.14 , $3.33 , $3.54 , $3.77 
South Dakota, $1.52 , $1.53 , $1.57 , $1.60 , $1.64 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.95 , $2.03 , $2.11 , $2.19 , $2.28 , $2.38 , $2.48 , $2.59 , $2.71 , $2.83 , $2.99 , $3.17 , $3.36 , $3.57 , $3.81 
Tennessee, $1.47 , $1.49 , $1.52 , $1.56 , $1.59 , $1.63 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.96 , $2.04 , $2.12 , $2.21 , $2.30 , $2.40 , $2.50 , $2.61 , $2.73 , $2.89 , $3.05 , $3.24 , $3.44 , $3.67 
Texas, $1.49 , $1.51 , $1.54 , $1.58 , $1.61 , $1.65 , $1.70 , $1.75 , $1.80 , $1.86 , $1.91 , $1.99 , $2.06 , $2.15 , $2.23 , $2.33 , $2.43 , $2.53 , $2.64 , $2.76 , $2.92 , $3.09 , $3.28 , $3.48 , $3.71 
Utah, $1.46 , $1.47 , $1.51 , $1.54 , $1.58 , $1.61 , $1.66 , $1.71 , $1.76 , $1.81 , $1.87 , $1.94 , $2.02 , $2.10 , $2.18 , $2.28 , $2.37 , $2.48 , $2.59 , $2.71 , $2.86 , $3.02 , $3.21 , $3.41 , $3.63 
Vermont, $1.71 , $1.73 , $1.77 , $1.81 , $1.85 , $1.89 , $1.95 , $2.01 , $2.07 , $2.13 , $2.20 , $2.28 , $2.37 , $2.47 , $2.57 , $2.68 , $2.79 , $2.91 , $3.04 , $3.18 , $3.36 , $3.56 , $3.78 , $4.02 , $4.28 
Virginia, $1.49 , $1.51 , $1.54 , $1.58 , $1.61 , $1.65 , $1.70 , $1.75 , $1.80 , $1.86 , $1.91 , $1.99 , $2.06 , $2.15 , $2.23 , $2.33 , $2.43 , $2.53 , $2.65 , $2.77 , $2.92 , $3.09 , $3.28 , $3.49 , $3.71 
Washington, $1.56 , $1.58 , $1.62 , $1.66 , $1.70 , $1.74 , $1.79 , $1.84 , $1.90 , $1.96 , $2.02 , $2.10 , $2.19 , $2.28 , $2.37 , $2.47 , $2.58 , $2.70 , $2.82 , $2.95 , $3.12 , $3.31 , $3.51 , $3.74 , $3.99 
West Virginia, $1.52 , $1.53 , $1.57 , $1.60 , $1.64 , $1.68 , $1.73 , $1.78 , $1.83 , $1.89 , $1.95 , $2.02 , $2.10 , $2.19 , $2.28 , $2.37 , $2.47 , $2.58 , $2.70 , $2.82 , $2.98 , $3.16 , $3.35 , $3.56 , $3.80 
Wisconsin, $1.56 , $1.57 , $1.61 , $1.64 , $1.68 , $1.72 , $1.77 , $1.82 , $1.87 , $1.93 , $1.99 , $2.07 , $2.15 , $2.23 , $2.32 , $2.42 , $2.52 , $2.63 , $2.75 , $2.87 , $3.03 , $3.21 , $3.40 , $3.62 , $3.85 
Wyoming, $1.42 , $1.44 , $1.47 , $1.50 , $1.53 , $1.57 , $1.61 , $1.66 , $1.71 , $1.76 , $1.81 , $1.88 , $1.95 , $2.03 , $2.11 , $2.20 , $2.29 , $2.39 , $2.50 , $2.61 , $2.76 , $2.91 , $3.09 , $3.28 , $3.49 
